
2025/01/23 (21:28:21) | ===> btop++ v.1.4.0
2025/01/23 (21:28:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (21:40:13) | ===> btop++ v.1.4.0
2025/01/23 (21:40:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (00:55:34) | ===> btop++ v.1.4.0
2025/01/28 (00:55:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (09:04:13) | ===> btop++ v.1.4.0
2025/01/28 (09:04:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (16:08:49) | ===> btop++ v.1.4.0
2025/01/31 (16:08:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (04:46:51) | ===> btop++ v.1.4.0
2025/02/05 (04:46:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (01:46:13) | ===> btop++ v.1.4.0
2025/02/06 (01:46:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (01:29:23) | ===> btop++ v.1.4.0
2025/02/09 (01:29:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (14:14:59) | ===> btop++ v.1.4.0
2025/02/09 (14:14:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (18:44:19) | ===> btop++ v.1.4.0
2025/02/09 (18:44:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (00:53:59) | ===> btop++ v.1.4.0
2025/02/11 (00:53:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (08:01:32) | ===> btop++ v.1.4.0
2025/02/11 (08:01:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (13:57:11) | ===> btop++ v.1.4.0
2025/02/11 (13:57:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (04:17:15) | ===> btop++ v.1.4.0
2025/02/13 (04:17:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (09:04:32) | ===> btop++ v.1.4.0
2025/02/13 (09:04:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (04:38:57) | ===> btop++ v.1.4.0
2025/02/14 (04:38:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (00:59:02) | ===> btop++ v.1.4.0
2025/02/15 (00:59:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (02:39:22) | ===> btop++ v.1.4.0
2025/02/15 (02:39:22) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/02/15 (02:39:27) | ===> btop++ v.1.4.0
2025/02/15 (02:39:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (03:28:08) | ===> btop++ v.1.4.0
2025/02/15 (03:28:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (07:07:41) | ===> btop++ v.1.4.0
2025/02/15 (07:07:41) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/02/15 (07:07:52) | ===> btop++ v.1.4.0
2025/02/15 (07:07:52) | WARNING: Intel GPU: Failed to initialize PMU
